fixture_id,date,competition,season,round,group,home_team_id,away_team_id,home_team,away_team,stadium,city,country,status
537332,2026-06-25T01:00:00Z,FIFA World Cup,2026,GROUP_STAGE,GROUP_A,774.0,772.0,South Africa,South Korea,,,World,TIMED
537355,2026-06-25T20:00:00Z,FIFA World Cup,2026,GROUP_STAGE,GROUP_E,791.0,759.0,Ecuador,Germany,,,World,TIMED
537356,2026-06-25T20:00:00Z,FIFA World Cup,2026,GROUP_STAGE,GROUP_E,9460.0,1935.0,Curaçao,Ivory Coast,,,World,TIMED
537361,2026-06-25T23:00:00Z,FIFA World Cup,2026,GROUP_STAGE,GROUP_F,802.0,8601.0,Tunisia,Netherlands,,,World,TIMED
537362,2026-06-25T23:00:00Z,FIFA World Cup,2026,GROUP_STAGE,GROUP_F,766.0,792.0,Japan,Sweden,,,World,TIMED
537349,2026-06-26T02:00:00Z,FIFA World Cup,2026,GROUP_STAGE,GROUP_D,803.0,771.0,Turkey,United States,,,World,TIMED
537350,2026-06-26T02:00:00Z,FIFA World Cup,2026,GROUP_STAGE,GROUP_D,761.0,779.0,Paraguay,Australia,,,World,TIMED
537395,2026-06-26T19:00:00Z,FIFA World Cup,2026,GROUP_STAGE,GROUP_I,8872.0,773.0,Norway,France,,,World,TIMED
537396,2026-06-26T19:00:00Z,FIFA World Cup,2026,GROUP_STAGE,GROUP_I,804.0,8062.0,Senegal,Iraq,,,World,TIMED
537373,2026-06-27T00:00:00Z,FIFA World Cup,2026,GROUP_STAGE,GROUP_H,758.0,760.0,Uruguay,Spain,,,World,TIMED
537374,2026-06-27T00:00:00Z,FIFA World Cup,2026,GROUP_STAGE,GROUP_H,1930.0,801.0,Cape Verde Islands,Saudi Arabia,,,World,TIMED
537367,2026-06-27T03:00:00Z,FIFA World Cup,2026,GROUP_STAGE,GROUP_G,783.0,805.0,New Zealand,Belgium,,,World,TIMED
537368,2026-06-27T03:00:00Z,FIFA World Cup,2026,GROUP_STAGE,GROUP_G,825.0,840.0,Egypt,Iran,,,World,TIMED
537413,2026-06-27T21:00:00Z,FIFA World Cup,2026,GROUP_STAGE,GROUP_L,1836.0,770.0,Panama,England,,,World,TIMED
537414,2026-06-27T21:00:00Z,FIFA World Cup,2026,GROUP_STAGE,GROUP_L,799.0,763.0,Croatia,Ghana,,,World,TIMED
537407,2026-06-27T23:30:00Z,FIFA World Cup,2026,GROUP_STAGE,GROUP_K,818.0,765.0,Colombia,Portugal,,,World,TIMED
537408,2026-06-27T23:30:00Z,FIFA World Cup,2026,GROUP_STAGE,GROUP_K,1934.0,8070.0,Congo DR,Uzbekistan,,,World,TIMED
537401,2026-06-28T02:00:00Z,FIFA World Cup,2026,GROUP_STAGE,GROUP_J,8049.0,762.0,Jordan,Argentina,,,World,TIMED
537402,2026-06-28T02:00:00Z,FIFA World Cup,2026,GROUP_STAGE,GROUP_J,778.0,816.0,Algeria,Austria,,,World,TIMED
537417,2026-06-28T19:00:00Z,FIFA World Cup,2026,LAST_32,,,,None,None,,,World,TIMED
537423,2026-06-29T17:00:00Z,FIFA World Cup,2026,LAST_32,,,,None,None,,,World,TIMED
537415,2026-06-29T20:30:00Z,FIFA World Cup,2026,LAST_32,,,,None,None,,,World,TIMED
537418,2026-06-30T01:00:00Z,FIFA World Cup,2026,LAST_32,,,,None,None,,,World,TIMED
537424,2026-06-30T17:00:00Z,FIFA World Cup,2026,LAST_32,,,,None,None,,,World,TIMED
537416,2026-06-30T21:00:00Z,FIFA World Cup,2026,LAST_32,,,,None,None,,,World,TIMED
537425,2026-07-01T01:00:00Z,FIFA World Cup,2026,LAST_32,,,,None,None,,,World,TIMED
537426,2026-07-01T16:00:00Z,FIFA World Cup,2026,LAST_32,,,,None,None,,,World,TIMED
537422,2026-07-01T20:00:00Z,FIFA World Cup,2026,LAST_32,,,,None,None,,,World,TIMED
537421,2026-07-02T00:00:00Z,FIFA World Cup,2026,LAST_32,,,,None,None,,,World,TIMED
537420,2026-07-02T19:00:00Z,FIFA World Cup,2026,LAST_32,,,,None,None,,,World,TIMED
537419,2026-07-02T23:00:00Z,FIFA World Cup,2026,LAST_32,,,,None,None,,,World,TIMED
537429,2026-07-03T03:00:00Z,FIFA World Cup,2026,LAST_32,,,,None,None,,,World,TIMED
537428,2026-07-03T18:00:00Z,FIFA World Cup,2026,LAST_32,,,,None,None,,,World,TIMED
537427,2026-07-03T22:00:00Z,FIFA World Cup,2026,LAST_32,,,,None,None,,,World,TIMED
537430,2026-07-04T01:30:00Z,FIFA World Cup,2026,LAST_32,,,,None,None,,,World,TIMED
537376,2026-07-04T17:00:00Z,FIFA World Cup,2026,LAST_16,,,,None,None,,,World,TIMED
537375,2026-07-04T21:00:00Z,FIFA World Cup,2026,LAST_16,,,,None,None,,,World,TIMED
537377,2026-07-05T20:00:00Z,FIFA World Cup,2026,LAST_16,,,,None,None,,,World,TIMED
537378,2026-07-06T00:00:00Z,FIFA World Cup,2026,LAST_16,,,,None,None,,,World,TIMED
537379,2026-07-06T19:00:00Z,FIFA World Cup,2026,LAST_16,,,,None,None,,,World,TIMED
537380,2026-07-07T00:00:00Z,FIFA World Cup,2026,LAST_16,,,,None,None,,,World,TIMED
537381,2026-07-07T16:00:00Z,FIFA World Cup,2026,LAST_16,,,,None,None,,,World,TIMED
537382,2026-07-07T20:00:00Z,FIFA World Cup,2026,LAST_16,,,,None,None,,,World,TIMED
537383,2026-07-09T20:00:00Z,FIFA World Cup,2026,QUARTER_FINALS,,,,None,None,,,World,TIMED
537384,2026-07-10T19:00:00Z,FIFA World Cup,2026,QUARTER_FINALS,,,,None,None,,,World,TIMED
537385,2026-07-11T21:00:00Z,FIFA World Cup,2026,QUARTER_FINALS,,,,None,None,,,World,TIMED
537386,2026-07-12T01:00:00Z,FIFA World Cup,2026,QUARTER_FINALS,,,,None,None,,,World,TIMED
537387,2026-07-14T19:00:00Z,FIFA World Cup,2026,SEMI_FINALS,,,,None,None,,,World,TIMED
537388,2026-07-15T19:00:00Z,FIFA World Cup,2026,SEMI_FINALS,,,,None,None,,,World,TIMED
537389,2026-07-18T21:00:00Z,FIFA World Cup,2026,THIRD_PLACE,,,,None,None,,,World,TIMED
537390,2026-07-19T19:00:00Z,FIFA World Cup,2026,FINAL,,,,None,None,,,World,TIMED
