fixture_id,fotmob_match_id,team_name,opponent_name,goals_for,goals_against,shots,shots_on_target,expected_goals,possession,passes,pass_accuracy,corners,fouls,yellow_cards,red_cards,big_chances,big_chances_missed,saves,tackles,interceptions,clearances
537416,4653704,France,Sweden,3.0,0.0,,12.0,,,551.0,,9.0,,0.0,0.0,7.0,5.0,,13.0,5.0,23.0
537416,4653704,Sweden,France,0.0,3.0,,3.0,,,350.0,,1.0,,0.0,0.0,1.0,1.0,,13.0,12.0,26.0
537425,4653713,Mexico,Ecuador,2.0,0.0,,3.0,,,316.0,,3.0,,0.0,0.0,2.0,2.0,,10.0,7.0,39.0
537425,4653713,Ecuador,Mexico,0.0,2.0,,1.0,,,410.0,,8.0,,3.0,1.0,1.0,1.0,,11.0,6.0,19.0
537426,4653714,England,Congo DR,2.0,1.0,,7.0,,,517.0,,5.0,,1.0,0.0,7.0,6.0,,11.0,7.0,23.0
537426,4653714,Congo DR,England,1.0,2.0,,2.0,,,365.0,,3.0,,1.0,0.0,1.0,1.0,,20.0,3.0,36.0
537422,4653710,Belgium,Senegal,3.0,2.0,,5.0,,,699.0,,4.0,,1.0,0.0,3.0,0.0,,12.0,8.0,28.0
537422,4653710,Senegal,Belgium,2.0,3.0,,5.0,,,639.0,,2.0,,1.0,0.0,3.0,1.0,,12.0,11.0,31.0
537421,4653709,United States,Bosnia-Herzegovina,,,,,,,,,,,,,,,,,,
537421,4653709,Bosnia-Herzegovina,United States,,,,,,,,,,,,,,,,,,
537420,4653708,Spain,Austria,,,,,,,,,,,,,,,,,,
537420,4653708,Austria,Spain,,,,,,,,,,,,,,,,,,
537419,4653707,Portugal,Croatia,,,,,,,,,,,,,,,,,,
537419,4653707,Croatia,Portugal,,,,,,,,,,,,,,,,,,
537429,4653717,Switzerland,Algeria,,,,,,,,,,,,,,,,,,
537429,4653717,Algeria,Switzerland,,,,,,,,,,,,,,,,,,
537428,4653716,Australia,Egypt,,,,,,,,,,,,,,,,,,
537428,4653716,Egypt,Australia,,,,,,,,,,,,,,,,,,
537427,4653715,Argentina,Cape Verde Islands,,,,,,,,,,,,,,,,,,
537427,4653715,Cape Verde Islands,Argentina,,,,,,,,,,,,,,,,,,
537430,4653718,Colombia,Ghana,,,,,,,,,,,,,,,,,,
537430,4653718,Ghana,Colombia,,,,,,,,,,,,,,,,,,
537376,4653843,Canada,Morocco,,,,,,,,,,,,,,,,,,
537376,4653843,Morocco,Canada,,,,,,,,,,,,,,,,,,
537375,4653842,Paraguay,France,,,,,,,,,,,,,,,,,,
537375,4653842,France,Paraguay,,,,,,,,,,,,,,,,,,
537377,4653846,Brazil,Norway,,,,,,,,,,,,,,,,,,
537377,4653846,Norway,Brazil,,,,,,,,,,,,,,,,,,
