fixture_id,fotmob_match_id,team_name,starting_xi_avg_rating,starting_xi_total_rating,starting_xi_avg_minutes,starting_xi_total_minutes,substitutes_avg_rating,formation,team_goals,team_assists,team_shots,team_shots_on_target,team_chances_created,team_expected_goals,shots_on_target_rate,goals_per_shot,goals_minus_xg,team_tackles,team_interceptions,team_clearances,goals_conceded,expected_goals_against,yellow_cards,red_cards,best_player_rating,worst_starter_rating,avg_player_rating,total_player_minutes,goal_contributions,substitute_goal_contributions
537365,4667793,Belgium,7.297272727272727,80.27,77.27272727272727,850.0,6.4225,4-2-3-1,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,7.1,6.11,6.949999999999999,0.0,0.0,
537365,4667793,Iran,6.972727272727273,76.7,80.0909090909091,881.0,6.390000000000001,5-4-1,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,7.1,6.18,6.949999999999999,0.0,0.0,
537366,4667792,Egypt,7.701818181818182,84.72,82.0909090909091,903.0,6.646666666666666,4-2-3-1,3.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,1.0,,0.0,0.0,7.5,6.69,6.85,0.0,0.0,
537366,4667792,New Zealand,6.194545454545454,68.14,84.36363636363636,928.0,6.29,4-2-3-1,1.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,3.0,,0.0,0.0,7.5,5.55,6.85,0.0,0.0,
537367,4667794,Belgium,7.675454545454545,84.43,82.72727272727273,910.0,6.963333333333334,4-2-3-1,5.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,1.0,,0.0,0.0,7.5,6.73,6.6,0.0,0.0,
537367,4667794,New Zealand,5.49,60.39000000000001,76.0909090909091,837.0,6.21,4-2-3-1,1.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,5.0,,0.0,0.0,7.5,3.28,6.6,0.0,0.0,
537368,4667795,Egypt,6.948181818181817,76.43,70.63636363636364,777.0,6.575999999999999,4-2-3-1,1.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,1.0,,0.0,0.0,6.8,5.75,6.8,0.0,0.0,
537368,4667795,Iran,6.902727272727273,75.93,83.72727272727273,921.0,6.475,5-4-1,1.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,1.0,,0.0,0.0,6.8,5.98,6.8,0.0,0.0,
537369,4667798,Cape Verde,7.008181818181819,77.09000000000002,79.81818181818181,878.0,6.287999999999999,4-1-4-1,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,0.0,0.0,7.3,5.95,7.05,0.0,0.0,
537369,4667798,Cape Verde Islands,,,,,,,0.0,,,1.0,,,,,,18.0,15.0,46.0,0.0,,1.0,0.0,,,,,,
537369,4667798,Spain,7.414545454545455,81.56,85.45454545454545,940.0,6.555,4-3-3,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,7.3,6.21,7.05,0.0,0.0,
537370,4667799,Saudi Arabia,6.850909090909091,75.36,86.45454545454545,951.0,6.46,4-4-2,1.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,1.0,,0.0,0.0,7.0,6.31,6.9,0.0,0.0,
537370,4667799,Uruguay,7.016363636363636,77.17999999999999,79.27272727272727,872.0,6.816666666666667,4-4-2,1.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,1.0,,0.0,0.0,7.0,5.56,6.9,0.0,0.0,
537371,4667801,Saudi Arabia,5.884545454545455,64.73,76.27272727272727,839.0,6.3774999999999995,5-4-1,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,4.0,,0.0,0.0,7.4,4.5,6.7,0.0,0.0,
537371,4667801,Spain,7.955454545454546,87.50999999999999,74.72727272727273,822.0,6.218,4-1-2-3,4.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,7.4,7.0,6.7,0.0,0.0,
537372,4667800,Cape Verde,6.770909090909091,74.48000000000002,77.45454545454545,852.0,6.744,4-1-4-1,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,0.0,0.0,6.8,6.23,6.75,0.0,0.0,
537372,4667800,Cape Verde Islands,,,,,,,2.0,,,4.0,,,,,,16.0,13.0,48.0,2.0,,2.0,0.0,,,,,,
537372,4667800,Uruguay,6.739090909090908,74.13,85.54545454545455,941.0,6.45,4-2-3-1,2.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,2.0,,0.0,0.0,6.8,4.56,6.75,0.0,0.0,
537373,4667802,Spain,7.304545454545454,80.35,79.81818181818181,878.0,6.4,4-3-3,1.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,7.0,6.27,6.65,0.0,0.0,
537373,4667802,Uruguay,6.352727272727273,69.88,76.9090909090909,846.0,6.217499999999999,4-2-3-1,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,1.0,,0.0,0.0,7.0,4.46,6.65,0.0,0.0,
537374,4667803,Cape Verde,7.040909090909091,77.45,81.18181818181819,893.0,6.595,4-1-4-1,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,0.0,0.0,6.9,5.64,6.85,0.0,0.0,
537374,4667803,Cape Verde Islands,,,,,,,0.0,,,2.0,,,,,,15.0,13.0,29.0,0.0,,1.0,0.0,,,,,,
537374,4667803,Saudi Arabia,6.942727272727273,76.36999999999999,75.63636363636364,832.0,6.42,4-4-2,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,6.9,6.36,6.85,0.0,0.0,
537376,4653843,Canada,,,,,,4-4-2,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,
537376,4653843,Morocco,,,,,,4-2-3-1,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,
537391,4667804,France,7.528181818181818,82.81,88.81818181818181,977.0,7.37,4-2-3-1,3.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,1.0,,0.0,0.0,7.5,6.21,6.85,0.0,0.0,
537391,4667804,Senegal,6.120909090909091,67.33,85.9090909090909,945.0,6.585,4-3-3,1.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,3.0,,0.0,0.0,7.5,5.54,6.85,0.0,0.0,
537392,4667805,Iraq,6.027272727272727,66.3,80.18181818181819,882.0,6.198,4-4-2,1.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,4.0,,0.0,0.0,7.0,3.63,6.55,0.0,0.0,
537392,4667805,Norway,7.252727272727273,79.78,83.0,913.0,6.4875,4-3-3,4.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,1.0,,0.0,0.0,7.0,6.35,6.55,0.0,0.0,
537393,4667807,France,7.8136363636363635,85.95,84.63636363636364,931.0,6.55,4-2-3-1,3.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,7.6,7.05,6.8,0.0,0.0,
537393,4667807,Iraq,5.971818181818182,65.69000000000001,74.81818181818181,823.0,6.14,4-3-3,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,3.0,,0.0,0.0,7.6,4.41,6.8,0.0,0.0,
537394,4667806,Norway,6.994545454545454,76.94,76.0909090909091,837.0,7.076666666666667,4-3-3,3.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,2.0,,0.0,0.0,7.0,6.21,6.8,0.0,0.0,
537394,4667806,Senegal,6.579090909090909,72.37,76.9090909090909,846.0,6.537999999999999,4-2-3-1,2.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,3.0,,0.0,0.0,7.0,3.71,6.8,0.0,0.0,
537395,4667808,France,7.790909090909091,85.7,83.63636363636364,920.0,6.723333333333334,4-2-3-1,4.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,1.0,,0.0,0.0,7.6,6.51,6.9,0.0,0.0,
537395,4667808,Norway,6.275454545454545,69.03,78.36363636363636,862.0,6.09,4-3-3,1.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,4.0,,0.0,0.0,7.6,4.97,6.9,0.0,0.0,
537396,4667809,Iraq,5.362727272727273,58.99,64.27272727272727,707.0,6.258,4-2-3-1,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,5.0,,0.0,0.0,7.7,3.85,6.65,0.0,0.0,
537396,4667809,Senegal,7.679090909090909,84.46999999999998,77.27272727272727,850.0,7.7675,4-3-3,5.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,7.7,6.59,6.65,0.0,0.0,
537397,4667812,Algeria,6.254545454545454,68.8,81.36363636363636,895.0,6.123333333333334,4-2-3-1,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,3.0,,0.0,0.0,7.2,5.45,6.7,0.0,0.0,
537397,4667812,Argentina,7.450909090909092,81.96000000000001,77.72727272727273,855.0,6.622,4-4-2,3.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,7.2,6.45,6.7,0.0,0.0,
537398,4667813,Austria,7.245454545454546,79.7,76.81818181818181,845.0,6.6,4-2-3-1,3.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,1.0,,0.0,0.0,7.1,6.43,6.9,0.0,0.0,
537398,4667813,Jordan,6.765454545454546,74.42,86.45454545454545,951.0,5.94,5-4-1,1.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,3.0,,0.0,0.0,7.1,5.56,6.9,0.0,0.0,
537399,4667815,Argentina,7.5218181818181815,82.74,80.9090909090909,890.0,6.330000000000001,4-4-2,2.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,7.3,7.0,6.8,0.0,0.0,
537399,4667815,Austria,6.316363636363636,69.48,82.36363636363636,906.0,6.075,4-2-3-1,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,2.0,,0.0,0.0,7.3,5.35,6.8,0.0,0.0,
537400,4667814,Algeria,7.45,81.94999999999999,79.72727272727273,877.0,6.903333333333333,4-2-3-1,2.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,1.0,,0.0,0.0,7.3,5.84,7.0,0.0,0.0,
